Instance,Income
111994,35388
111995,17667
111996,10638
111997,3062
111998,3628
111999,145991
112000,10263
112001,29719
112002,8761
112003,8686
112004,1789
112005,51864
112006,16226
112007,113828
112008,53410
112009,55921
112010,19550
112011,7563
112012,39883
112013,34657
112014,9337
112015,21658
112016,59905
112017,27460
112018,6419
112019,24339
112020,16126
112021,2489
112022,12437
112023,41122
112024,5413
112025,10130
112026,20000
112027,9900
112028,3404
112029,3330
112030,26759
112031,30877
112032,41424
112033,17573
112034,5232
112035,24260
112036,27668
112037,14050
112038,84290
112039,6817
112040,54545
112041,55276
112042,20875
112043,22908
112044,48043
112045,22059
112046,21784
112047,13599
112048,23473
112049,59125
112050,6387
112051,9447
112052,55763
112053,74038
112054,43330
112055,21967
112056,52422
112057,14714
112058,64747
112059,7425
112060,11012
112061,85260
112062,16135
112063,36893
112064,16803
112065,1315
112066,13860
112067,42037
112068,21777
112069,32971
112070,11735
112071,10651
112072,30107
112073,12846
112074,24830
112075,17127
112076,12898
112077,27796
112078,3799
112079,23222
112080,4322
112081,48837
112082,20285
112083,26667
112084,5367
112085,18872
112086,12648
112087,21150
112088,30956
112089,944
112090,22081
112091,30552
112092,25351
112093,7094
112094,43512
112095,28050
112096,29059
112097,26202
112098,7228
112099,30972
112100,28154
112101,2627
112102,8894
112103,108202
112104,19411
112105,27101
112106,31397
112107,39217
112108,51609
112109,1166
112110,13671
112111,28942
112112,42520
112113,35262
112114,17289
112115,10521
112116,5457
112117,40086
112118,24904
112119,12642
112120,77846
112121,6116
112122,10207
112123,21478
112124,14188
112125,29005
112126,108461
112127,12938
112128,26239
112129,27757
112130,6334
112131,15471
112132,31976
112133,22460
112134,37681
112135,1439
112136,34681
112137,12037
112138,23714
112139,39858
112140,21003
112141,12503
112142,453
112143,12036
112144,3878
112145,31186
112146,13163
112147,17580
112148,12880
112149,2928
112150,3492
112151,43329
112152,28670
112153,21576
112154,10360
112155,24196
112156,135441
112157,32303
112158,50816
112159,26705
112160,28563
112161,21526
112162,23040
112163,12452
112164,21642
112165,40943
112166,56258
112167,25333
112168,14564
112169,32896
112170,34662
112171,33802
112172,2946
112173,7163
112174,1511
112175,87680
112176,12167
112177,48055
112178,12923
112179,8195
112180,24118
112181,2379
112182,17181
112183,21225
112184,8749
112185,36823
112186,16447
112187,8548
112188,874
112189,6369
112190,15191
112191,35644
112192,16010
112193,30949
112194,59205
